case no. in WK,win/loss,year,issue,us p/d,case official no.,case name
3,1,2022,trademark,p,(2022)粤1973民初11922号,
28,1,2022,trademark,p,(2022)沪0104民初9523号,
32,1,2022,contract,d,(2022)辽01民初89号,沈阳沈西燃气有限公司、美国盈旺斯特国际股份有限公司不当得利纠纷民事一审民事判决书
4,1,2021,contract,p,(2021)京04民初972号,
5,0,2021,contract,d,(2021)京04民初666号,
6,0,2021,contract,d,(2021)沪0115民初19744号,
29,1,2021,trademark,p,(2021)粤0106民初21261号,美国旅安有限公司、广州摩登百货股份有限公司等侵害商标权纠纷民事一审民事判决书
30,1,2021,trademark,p,(2021)沪0104民初30649号,斯凯杰美国公司与合浦华为木业有限公司等侵害商标权纠纷一审民事判决书
31,1,2021,trademark,p,(2021)沪0104民初21792号,斯凯杰美国公司与郑啊南等侵害商标权纠纷一审民事判决书
37,1,2021,trademark,p,(2021)沪0104民初21789号,斯凯杰美国公司与南安市省新冬花服装店侵害商标权纠纷民事一审案件民事判决书
39,0,2021,trademark,p,(2021)京73行初14264号,菲亚特克莱斯勒美国有限公司与国家知识产权局其他一审行政判决书
42,0,2021,trademark,p,(2021)京73行初19148号,饮料销售
44,0,2021,trademark,p,(2021)京73行初18547号,美国国际清洁卫生供应商协会与国家知识产权局其他一审行政判决书
46,0,2021,corporate,p,(2021)苏11民初10号,美国生惠公司、镇江苏惠乳胶制品有限公司等公司解散纠纷民事一审民事判决书
47,1,2021,trademark,p,(2021)京73行初7141号, 菲亚特克莱斯勒美国有限公司与国家知识产权局其他一审行政判决书 
48,0,2021,trademark,p,(2021)京73行初7143号,菲亚特克莱斯勒美国有限公司与国家知识产权局其他一审行政判决书
49,0,2021,trademark,p,(2021)京73行初12792号,美国OBD解决方案有限公司与国家知识产权局其他一审行政判决书
50,1,2021,trademark,p,(2021)京73行初16336号,美国舰模产品公司与国家知识产权局其他一审行政判决书
57,1,2021,trademark,p,(2021)京73行初12676号,美赞臣美国控股有限公司与国家知识产权局一审行政判决书
58,1,2021,trademark,p,(2021)京73行初12677号,美赞臣美国控股有限公司与国家知识产权局其他一审行政判决书
64,0,2021,trademark,p,(2021)京73行初10719号,菲亚特克莱斯勒美国有限公司与国家知识产权局其他一审行政判决书
65,1,2021,property/tort,p,(2021)苏02民初91号,中石化（美国）有限公司、汉邦（江阴）石化有限公司等与公司有关的纠纷民事一审民事判决书
68,1,2021,trademark,p,(2021)京73行初5604号,美国宝德有限公司与国家知识产权局其他一审行政判决书
69,1,2021,trademark,p,(2021)京73行初4206号,美国银行公司与国家知识产权局一审行政判决书
107,1,2021,trademark,p,(2021)京73行初4397号,美国华佗集团公司与国家知识产权局其他一审行政判决书
108,1,2021,trademark,p,(2021)京73行初5901号,美国博宁公司与国家知识产权局其他一审行政判决书
109,1,2021,trademark,p,(2021)京73行初314号,美国畸齿矫正公司与国家知识产权局其他一审行政判决书
112,0,2021,trademark,p,(2021)京73行初1858号,美国华佗集团公司与国家知识产权局其他一审行政判决书
114,0,2021,trademark,p,(2021)京73行初2148号,美国雅蔓兰公司与国家知识产权局其他一审行政判决书
1,0,2020,trademark,p,(2020)京73行初2634号,
7,0,2020,corporate,d,(2020)京04民初564号,
14,0,2020,trademark,p,(2020)京73行初8962号,
45,1,2020,trademark,p,(2020)浙10民初573号,美国爱宝工业有限公司、台州恒固胶业有限公司侵害商标权纠纷一审民事判决书
76,0,2020,trademark,p,(2020)京73行初1441号,美国奶油王后公司与国家知识产权局其他一审行政判决书
77,0,2020,trademark,p,(2020)京73行初16648号,环球生命科学解决方案美国有限责任公司与国家知识产权局其他一审行政判决书
115,0,2020,trademark,p,(2020)京73行初18066号,菲亚特克莱斯勒美国有限公司与国家知识产权局一审行政判决书
116,1,2020,trademark,p,(2020)京73行初2435号,美国奶油王后公司与国家知识产权局其他一审行政判决书
117,1,2020,trademark,p,(2020)京73行初13737号,雷勃美国公司与国家知识产权局其他一审行政判决书
120,1,2020,trademark,p,(2020)京73行初15607号,百欧恩泰美国股份有限公司与国家知识产权局其他一审行政判决书
121,1,2020,trademark,p,(2020)京73行初14453号,甲骨文美国有限公司与国家知识产权局其他一审行政判决书
123,1,2020,trademark,p,(2020)京73行初16201号,百欧恩泰美国股份有限公司与国家知识产权局一审行政判决书 
125,1,2020,trademark,p,(2020)京73行初11645号,美国中草药股份有限公司与国家知识产权局一审行政判决书
126,1,2020,trademark,p,(2020)京73行初13537号,美国礼来公司与国家知识产权局一审行政判决书
127,1,2020,trademark,p,(2020)京73行初4176号,菲亚特克莱斯勒美国有限公司与国家知识产权局一审行政判决书
128,0,2020,trademark,p,(2020)京73行初10692号,美国普瑞莫种虾有限公司与国家知识产权局其他一审行政判决书
129,1,2020,trademark,p,(2020)京73行初2968号,斯凯杰美国公司与国家知识产权局其他一审行政判决书
130,1,2020,trademark,p,(2020)京73行初12220号,美国中草药股份有限公司与国家知识产权局其他一审行政判决书
135,1,2020,trademark,p,(2020)京73行初8883号,斯凯杰美国公司与国家知识产权局其他一审行政判决书
139,0,2020,trademark,p,(2020)京73行初2881号,美国密西根州可柔格尔公司与国家知识产权局一审行政判决书
140,0,2020,trademark,p,(2020)京73行初2891号,美国密西根州可柔格尔公司与国家知识产权局一审行政判决书
141,0,2020,trademark,p,(2020)京73行初4507号,美国密西根州可柔格尔公司与国家知识产权局其他一审行政判决书
142,0,2020,trademark,p,(2020)京73行初4508号,美国密西根州可柔格尔公司与国家知识产权局其他一审行政判决书
143,0,2020,trademark,p,(2020)京73行初4511号,美国密西根州可柔格尔公司与国家知识产权局其他一审行政判决书
145,0,2020,trademark,p,(2020)京73行初4513号,美国密西根州可柔格尔公司与国家知识产权局其他一审行政判决书
146,0,2020,trademark,p,(2020)京73行初4504号,美国奶油王后公司与国家知识产权局其他一审行政判决书
147,0,2020,trademark,p,(2020)京73行初4510号,美国密西根州可柔格尔公司与国家知识产权局其他一审行政判决书
148,0,2020,trademark,p,(2020)京73行初4512号,美国密西根州可柔格尔公司与国家知识产权局其他一审行政判决书
150,0,2020,trademark,p,(2020)京73行初4291号,美国运通市场及发展公司与国家知识产权局其他一审行政判决书
153,1,2020,trademark,p,(2020)京73行初2564号,美国临床肿瘤学会有限公司与国家知识产权局其他一审行政判决书
154,1,2020,trademark,p,(2020)京73行初5177号,斯凯杰美国公司与国家知识产权局其他一审行政判决书
155,0,2020,trademark,p,(2020)京73行初3003号,美国运动鞋公司与国家知识产权局一审行政判决书
156,1,2020,trademark,p,2020)浙0782民初2536号,美国金霸王营运有限公司与义乌市松明电池商行、杨松明侵害商标权纠纷一审民事判决书
159,0,2020,trademark,p,(2020)京73行初3935号,美国艺康公司与国家知识产权局一审行政判决书
160,1,2020,trademark,p,(2020)京73行初2937号,美国密西根州可柔格尔公司与国家知识产权局其他一审行政判决书
165,1,2020,trademark,p,(2020)京73行初2825号,可乐丽美国公司与国家知识产权局其他一审行政判决书
15,0,2019,contract,d,(2019)京04民初256号,
17,0,2019,trademark,p,(2019)京73行初8730号,
18,1,2019,contract,p,(2019)京04民初901号,
59,0,2019,trademark,p,(2019)京73行初8224号,美国万通保险公司与国家知识产权局其他一审行政判决书
71,1,2019,trademark,p,(2019)京73行初10068号,菲亚特克莱斯勒美国有限公司与国家知识产权局其他一审行政判决书
111,0,2019,trademark,p,(2019)京73行初7530号,美国奥斯卡国际有限公司与中华人民共和国国家知识产权局其他一审行政判决书
113,0,2019,trademark,p,2019)京73行初7529号,美国奥斯卡国际有限公司与中华人民共和国国家知识产权局其他一审行政判决书
